Algorithm, Turns, Exit Status, Number of Ones, Number of Twos, Number of Threes, Score
minrisk,8,2,5,0,1,0,
minrisk,19,2,12,0,5,0,
minrisk,8,2,5,1,0,0,
minrisk,6,1,1,3,1,0,
minrisk,13,2,9,0,2,0,
minrisk,17,1,12,3,1,0,
minrisk,16,1,9,1,5,0,
minrisk,16,1,10,2,3,0,
minrisk,15,2,10,0,3,0,
minrisk,7,2,3,1,1,0,
minrisk,11,1,6,3,1,0,
minrisk,13,1,7,2,3,0,
minrisk,14,1,7,0,6,0,
minrisk,18,2,12,0,4,0,
minrisk,11,2,7,1,1,0,
minrisk,12,2,7,2,1,0,
minrisk,12,2,6,0,4,0,
minrisk,12,2,8,2,0,0,
minrisk,13,1,8,4,0,0,
minrisk,5,1,0,4,0,0,
minrisk,18,2,11,1,4,0,
minrisk,15,1,10,4,0,0,
minrisk,11,1,4,0,6,0,
minrisk,7,2,3,0,2,0,
minrisk,11,1,4,1,5,0,
minrisk,14,1,8,2,3,0,
minrisk,12,1,7,3,1,0,
minrisk,12,1,5,0,6,0,
minrisk,6,1,1,4,0,0,
minrisk,7,2,3,2,0,0,
minrisk,12,1,6,2,3,0,
minrisk,2,2,0,0,0,0,
minrisk,13,1,8,3,1,0,
minrisk,11,2,7,2,0,0,
minrisk,8,2,3,0,3,0,
minrisk,16,1,11,3,1,0,
minrisk,13,2,8,2,1,0,
minrisk,15,1,10,4,0,0,
minrisk,14,2,9,0,3,0,
minrisk,17,1,12,3,1,0,
minrisk,16,1,11,4,0,0,
minrisk,11,1,4,1,5,0,
minrisk,7,2,3,0,2,0,
minrisk,17,1,10,1,5,0,
minrisk,16,1,9,0,6,0,
minrisk,12,1,7,4,0,0,
minrisk,15,2,9,1,3,0,
minrisk,7,2,1,0,4,0,
minrisk,10,1,4,2,3,0,
minrisk,13,2,8,1,2,0,
minrisk,12,2,9,1,0,0,
minrisk,16,1,11,4,0,0,
minrisk,12,1,6,2,3,0,
minrisk,14,1,9,4,0,0,
minrisk,7,2,3,0,2,0,
minrisk,12,2,8,1,1,0,
minrisk,16,1,9,0,6,0,
minrisk,9,1,4,3,1,0,
minrisk,19,2,12,0,5,0,
minrisk,15,1,8,0,6,0,
minrisk,13,2,7,0,4,0,
minrisk,5,2,3,0,0,0,
minrisk,9,2,4,2,1,0,
minrisk,12,2,8,1,1,0,
minrisk,14,1,7,0,6,0,
minrisk,19,1,12,1,5,0,
minrisk,14,2,11,1,0,0,
minrisk,7,2,2,0,3,0,
minrisk,8,1,2,2,3,0,
minrisk,19,1,12,1,5,0,
minrisk,19,1,12,1,5,0,
minrisk,14,1,8,2,3,0,
minrisk,11,1,6,3,1,0,
minrisk,9,2,3,1,3,0,
minrisk,15,1,10,4,0,0,
minrisk,17,1,11,2,3,0,
minrisk,10,1,3,1,5,0,
minrisk,12,1,5,1,5,0,
minrisk,11,1,5,2,3,0,
minrisk,17,1,11,2,3,0,
minrisk,13,1,8,3,1,0,
minrisk,13,1,7,2,3,0,
minrisk,9,1,4,4,0,0,
minrisk,15,1,9,2,3,0,
minrisk,12,1,6,2,3,0,
minrisk,13,2,7,0,4,0,
minrisk,12,2,6,0,4,0,
minrisk,15,1,10,3,1,0,
minrisk,15,2,9,0,4,0,
minrisk,13,1,6,0,6,0,
minrisk,18,2,11,0,5,0,
minrisk,19,2,13,1,3,0,
minrisk,9,2,4,0,3,0,
minrisk,14,2,8,0,4,0,
minrisk,13,2,9,2,0,0,
minrisk,18,2,12,0,4,0,
minrisk,13,1,8,3,1,0,
minrisk,15,2,10,0,3,0,
minrisk,17,1,10,0,6,0,
minrisk,14,1,7,1,5,0,
